ohms,V,mA
200,4.9,26.4
510,7.1,15.2
1000,8.2,9.9
3000,9,5.11
12000,9.8,0.21
75000,9.9,0.045
200000,9.9,0.016
560000,9.9,0.0007
1000000,10,0.0004
