# frequency in Hz, absolute value of transmission, phase

100.0,2.24341748194,2.46546049443
199.526231497,1.17874108566,2.53423024122
398.107170553,0.613167084672,2.53086044902
794.328234724,0.342462819301,2.39937084066
1584.89319246,0.201738985751,2.10343349452
3162.27766017,0.208817551569,1.67693372713
6309.5734448,0.220589896641,1.44015877884
12589.2541179,0.240313365153,1.32053617792
25118.8643151,0.229864957939,1.2835796754
50118.7233627,0.229803545752,1.25809333714
